ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",1774.9999999999998,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",5679,0.005730708179907304
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",1024,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",2036,0.0020545380972515
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",952,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",1297,0.0013088093870998014
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",1832,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",47808,0.04824329928948906
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",333,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",400,0.00040364206232838904
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",125,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",73,0.000073664676374931
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",201,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",711,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",1784,0.0018002435979846151
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",7857.000000000001,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",51391,0.0518589230627956
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",3253.681146025222,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",21464,0.021659433064541357
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",1788.235163506187,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",4221,0.004259432862720325
